IndicatorCode;Indicator;ValueType;ParentLocationCode;ParentLocation;Location type;SpatialDimValueCode;Location;Period type;Period;IsLatestYear;Dim1 type;Dim1;Dim1ValueCode;Dim2 type;Dim2;Dim2ValueCode;Dim3 type;Dim3;Dim3ValueCode;DataSourceDimValueCode;DataSource;FactValueNumericPrefix;FactValueNumeric;FactValueUoM;FactValueNumericLowPrefix;FactValueNumericLow;FactValueNumericHighPrefix;FactValueNumericHigh;Value;FactValueTranslationID;FactComments;Language;DateModified
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;POL;Poland;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1046;;;4;;28;10 [4-28];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;POL;Poland;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1046;;;6;;20;10 [6-20];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BGR;Bulgaria;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1023;;;9;;11;10 [9-11];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;LVA;Latvia;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1027;;;9;;11;10 [9-11];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BLR;Belarus;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;105;;;9;;12;10 [9-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BLR;Belarus;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;105;;;9;;12;10 [9-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BGR;Bulgaria;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1023;;;9;;12;10 [9-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;LVA;Latvia;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1027;;;9;;12;10 [9-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;NOR;Norway;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1083;;;10;;11;11 [10-11];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;AMR;Americas;Country;URY;Uruguay;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1144;;;10;;13;11 [10-13];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;NOR;Norway;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1083;;;11;;11;11 [11-11];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;AMR;Americas;Country;URY;Uruguay;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1144;;;11;;12;11 [11-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BIH;Bosnia and Herzegovina;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1101;;;5;;24;11 [5-24];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;BIH;Bosnia and Herzegovina;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1101;;;7;;18;11 [7-18];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;AMR;Americas;Country;CAN;Canada;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;1157;;;11;;12;12 [11-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;AMR;Americas;Country;CAN;Canada;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;1157;;;11;;12;12 [11-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;DNK;Denmark;Year;2015-2019;VERDADERO;Uncertainty interval;80% uncertainty;UNCERTAINTY_INTERVAL_UI80;;;;;;;;;;116;;;11;;12;12 [11-12];;;EN;26-04-2023 0:00
SRH_ABORTION_RATE;Abortion rate (model-estimated);numeric;EUR;Europe;Country;DNK;Denmark;Year;2015-2019;VERDADERO;Uncertainty interval;95% uncertainty;UNCERTAINTY_INTERVAL_UI95;;;;;;;;;;116;;;11;;12;12 [11-12];;;EN;26-04-2023 0:00
