ParentLocation,SpatialDimValueCode,Location,FactValueNumericLow_80,FactValueNumericHigh_80,Value_80,FactValueNumericLow_95,FactValueNumericHigh_95,Value_95
Europe,POL,Poland,6,20,10,4,28,10
Europe,BGR,Bulgaria,9,11,10,9,12,10
Europe,LVA,Latvia,9,11,10,9,12,10
Europe,BLR,Belarus,9,12,10,9,12,10
Europe,NOR,Norway,11,11,11,10,11,11
Americas,URY,Uruguay,11,12,11,10,13,11
Europe,BIH,Bosnia and Herzegovina,7,18,11,5,24,11
Americas,CAN,Canada,11,12,12,11,12,12
Europe,DNK,Denmark,11,12,12,11,12,12
Western Pacific,NZL,New Zealand,12,12,12,11,13,12
Americas,USA,United States of America,12,12,12,11,13,12
Europe,SRB,Serbia,10,18,13,8,21,13
Europe,ISL,Iceland,12,13,13,12,13,13
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,13,14,13,13,14,13
Europe,MKD,North Macedonia,11,20,14,10,25,14
Europe,HUN,Hungary,13,15,14,12,15,14
Europe,FRA,France,14,15,14,14,15,14
Africa,SEN,Senegal,11,20,15,10,23,15
Americas,NIC,Nicaragua,7,27,15,4,36,15
Africa,NER,Niger,8,26,15,5,33,15
Europe,GRC,Greece,8,31,15,7,41,15
Europe,HRV,Croatia,11,27,16,8,35,16
Western Pacific,AUS,Australia,12,21,16,10,23,16
Europe,EST,Estonia,15,17,16,14,18,16
Africa,GMB,Gambia,8,28,16,4,37,16
Europe,SWE,Sweden,17,18,17,17,18,17
Africa,MRT,Mauritania,7,31,17,3,41,17
Africa,TCD,Chad,8,31,17,4,40,17
Europe,MDA,Republic of Moldova,13,28,18,11,35,18
Africa,ZWE,Zimbabwe,16,22,18,14,24,18
Europe,ITA,Italy,12,28,19,10,35,19
Americas,GTM,Guatemala,12,29,19,10,35,19
Europe,TKM,Turkmenistan,13,28,19,10,34,19
Eastern Mediterranean,DJI,Djibouti,10,37,21,7,52,21
Africa,ERI,Eritrea,11,37,21,7,50,21
Americas,CRI,Costa Rica,15,28,21,13,34,21
Europe,UKR,Ukraine,15,30,21,14,38,21
Western Pacific,KOR,Republic of Korea,16,31,21,14,40,21
Western Pacific,MNG,Mongolia,19,22,21,18,23,21
Americas,HND,Honduras,8,39,21,4,50,21
Africa,LSO,Lesotho,11,44,23,6,61,23
Africa,MLI,Mali,12,37,23,8,47,23
Europe,UZB,Uzbekistan,15,35,23,13,45,23
Americas,SLV,El Salvador,12,40,24,9,51,24
Africa,ETH,Ethiopia,20,31,24,17,35,24
Western Pacific,TON,Tonga,11,50,25,7,72,25
Africa,SSD,South Sudan,12,45,25,8,61,25
South-East Asia,THA,Thailand,13,45,25,9,60,25
South-East Asia,IDN,Indonesia,14,41,25,10,52,25
Africa,BDI,Burundi,12,43,26,8,56,26
South-East Asia,MMR,Myanmar,14,43,26,10,55,26
Africa,GIN,Guinea,14,45,26,9,58,26
Europe,TJK,Tajikistan,17,44,26,15,60,26
